Player Name,Salary (Millions USD),Position,Age,Birthdate,Team,GP,PTS,RBS,AST,STL,BLK,TOV,Total Minutes
Terence Davis,4000000,SG,25,16/05/1997,Sacramento Kings,64,6.7,2.2,1,0.7,0.2,0.8,841
Chris Duarte,3936960,SF,25,13/06/1997,Indiana Pacers,46,7.9,2.5,1.4,0.5,0.2,0.9,897
Alex Len,3918600,C,29,16/06/1993,Sacramento Kings,26,1.7,2.3,0.5,0.2,0.4,0.6,161
Ochai Agbaji,3918360,SG,22,20/04/2000,Utah Jazz,59,7.9,2.1,1.1,0.3,0.3,0.7,1209
Jordan Poole,3901399,PG,23,19/06/1999,Golden State Warriors,82,20.4,2.7,4.5,0.8,0.3,3.1,2458
Keldon Johnson,3873024,SF,23,11/10/1999,San Antonio Spurs,63,22,5,2.9,0.7,0.2,2.1,2063
James Johnson,3841067,PF,35,20/02/1987,Indiana Pacers,18,2.8,1.7,0.8,0.4,0.3,0.4,162
Aaron Nesmith,3804360,SF,23,16/10/1999,Indiana Pacers,73,10.1,3.8,1.3,0.8,0.5,1,1816
Moses Moody,3740160,SG,20,31/05/2002,Golden State Warriors,63,4.8,1.7,0.8,0.3,0.1,0.5,817
Mark Williams,3722040,C,21,16/12/2001,Charlotte Hornets,43,9,7.1,0.4,0.7,1,0.9,828
Cole Anthony,3613680,PG,22,15/05/2000,Orlando Magic,60,13,4.8,3.9,0.6,0.5,1.5,1552
Corey Kispert,3552840,SF,23,03/03/1999,Washington Wizards,74,11.1,2.8,1.2,0.4,0.1,0.7,2093
AJ Griffin,3536160,SF,19,25/08/2003,Atlanta Hawks,72,8.9,2.1,1,0.6,0.2,0.6,1401
Mike Muscala,3500000,C,31,01/07/1991,Boston Celtics,63,6.1,3.2,0.8,0.2,0.4,0.4,945
Georges Niang,3465000,PF,29,17/06/1993,Philadelphia 76ers,78,8.2,2.4,1,0.4,0.2,0.7,1512
Isaiah Stewart,3433320,C,21,22/05/2001,Detroit Pistons,50,11.3,8.1,1.4,0.4,0.7,1.4,1414
Chuma Okeke,3433320,SF,24,18/08/1998,Orlando Magic,27,4.7,3.6,1.4,0.7,0.4,0.6,518
Amir Coffey,3395062,SF,25,17/06/1997,Los Angeles Clippers,50,3.4,1.1,1.1,0.1,0.1,0.4,625
Tari Eason,3359160,PF,21,10/05/2001,Houston Rockets,82,9.3,6,1.1,1.2,0.6,1.2,1767
Aleksej Pokusevski,3261480,PF,21,26/12/2001,Oklahoma City Thunder,34,8.1,4.7,1.9,0.6,1.3,1.3,701
Simone Fontecchio,3205128,SF,27,09/12/1995,Utah Jazz,52,6.3,1.7,0.8,0.3,0.2,0.8,766
Andre Drummond,3200000,C,29,10/08/1993,Chicago Bulls,67,6,6.6,0.5,0.7,0.4,1.1,849
Dalen Terry,3191400,SG,20,12/07/2002,Chicago Bulls,38,2.2,1,0.6,0.3,0.1,0.2,214
Sterling Brown,3122602,SF,27,10/02/1995,Los Angeles Lakers,4,0,2,0.5,0.8,0,0,24
Josh Green,3098400,SG,22,16/11/2000,Dallas Mavericks,60,9.1,3,1.7,0.7,0.1,1.2,1539
Jake LaRavia,3047640,PF,21,03/11/2001,Memphis Grizzlies,35,3,1.8,0.6,0.3,0.1,0.5,414
Tre Mann,3046200,PG,21,03/02/2001,Oklahoma City Thunder,67,7.7,2.3,1.8,0.6,0.2,0.9,1183
Kevin Knox,3000000,SF,23,11/08/1999,Detroit Pistons,63,6.6,2.8,0.5,0.4,0.2,0.8,952
Saddiq Bey,2959080,SF,23,09/04/1999,Detroit Pistons,77,13.8,4.7,1.5,0.9,0.2,0.9,2129
Malaki Branham,2925600,SG,19,12/05/2003,San Antonio Spurs,66,10.2,2.7,1.9,0.5,0.1,1.2,1550
Joe Wieskamp,2909261,SF,23,23/08/1999,Toronto Raptors,9,1,0.4,0.3,0,0,0.1,50
Kai Jones,2909040,C,22,19/01/2001,Charlotte Hornets,46,3.4,2.7,0.3,0.4,0.7,0.7,550
Blake Griffin,2905851,C,33,16/03/1989,Boston Celtics,41,4.1,3.8,1.5,0.3,0.2,0.5,569
Robin Lopez,2905851,C,34,01/04/1988,Cleveland Cavaliers,37,3,1.4,0.5,0.1,0.2,0.7,299
Markieff Morris,2905851,PF,33,02/09/1989,Brooklyn Nets,35,3.8,2,0.9,0.3,0.1,0.5,355
Andre Iguodala,2905851,PF,39,28/01/1984,Golden State Warriors,8,2.1,2.1,2.4,0.5,0.4,1.1,113
Serge Ibaka,2905851,C,33,18/09/1989,Milwaukee Bucks,16,4.1,2.8,0.3,0.1,0.4,0.7,185
Udonis Haslem,2905851,C,42,09/06/1980,Miami Heat,7,3.9,1.6,0,0.1,0.3,0.1,71
Wesley Matthews,2905851,SF,36,14/10/1986,Milwaukee Bucks,52,3.4,2.2,0.7,0.4,0.3,0.3,820
Austin Rivers,2905851,SG,30,01/08/1992,Minnesota Timberwolves,52,4.9,1.6,1.4,0.5,0.1,0.4,1016
Bismack Biyombo,2905851,C,30,28/08/1992,Phoenix Suns,61,4.3,4.3,0.9,0.3,1.4,0.8,874
Taj Gibson,2905851,C,37,24/06/1985,Washington Wizards,49,3.4,1.9,0.7,0.3,0.2,0.5,480
Precious Achiuwa,2840160,C,23,19/09/1999,Toronto Raptors,55,9.2,6,0.9,0.6,0.5,1.1,1140
Christian Braun,2808600,SG,21,17/04/2001,Denver Nuggets,76,4.7,2.4,0.8,0.5,0.2,0.5,1181
Jordan Nwora,2800000,SF,24,09/09/1998,Milwaukee Bucks,62,8.7,3.7,1.4,0.4,0.2,1.1,1188
Jalen Johnson,2792640,SF,21,18/12/2001,Atlanta Hawks,70,5.6,4,1.2,0.5,0.5,0.6,1042
Tyrese Maxey,2726880,SG,22,04/11/2000,Philadelphia 76ers,60,20.3,2.9,3.5,0.8,0.1,1.3,2016
Bruno Fernando,2717391,C,24,15/08/1998,Houston Rockets,39,3.9,3.5,0.8,0.2,0.9,0.6,405
Walker Kessler,2696400,C,21,26/07/2001,Utah Jazz,74,9.2,8.4,0.9,0.4,2.3,0.8,1703
Keon Johnson,2681040,SG,20,10/03/2002,Portland Trail Blazers,40,4.7,1.1,1.5,0.5,0.2,1.1,416
Charles Bassey,2674742,C,22,28/10/2000,San Antonio Spurs,35,5.7,5.5,1.3,0.5,0.9,1.2,508
Matthew Dellavedova,2628597,PG,32,08/09/1990,Sacramento Kings,32,1.5,0.4,1.3,0.2,0,0.3,213
Trey Lyles,2625000,PF,27,05/11/1995,Sacramento Kings,74,7.6,4.1,0.9,0.4,0.4,0.9,1247
Zeke Nnaji,2617800,PF,22,09/01/2001,Denver Nuggets,53,5.2,2.6,0.3,0.3,0.4,0.6,728
David Roddy,2588640,PF,21,27/03/2001,Memphis Grizzlies,70,6.7,2.8,0.8,0.4,0.3,0.8,1258
Isaiah Jackson,2573760,C,21,10/01/2002,Indiana Pacers,63,7.2,4.5,0.8,0.5,1.5,0.8,1042
MarJon Beauchamp,2485200,SF,22,12/10/2000,Milwaukee Bucks,52,5.1,2.2,0.7,0.4,0.1,0.9,701
Usman Garuba,2471160,C,20,09/03/2002,Houston Rockets,75,3,4.1,0.9,0.6,0.4,0.6,970
Raul Neto,2463490,PG,30,19/05/1992,Cleveland Cavaliers,48,3.3,1,1.6,0.4,0.1,0.5,505
Frank Kaminsky,2463490,C,29,04/04/1993,Houston Rockets,36,2.5,1.4,0.9,0.2,0.1,0.3,235
Montrezl Harrell,2463490,C,29,26/01/1994,Philadelphia 76ers,57,5.6,2.8,0.6,0.3,0.4,0.6,681
Blake Wesley,2385480,SG,19,16/03/2003,San Antonio Spurs,37,5,2.2,2.7,0.7,0.1,1.8,669
Josh Christopher,2372160,SG,21,08/12/2001,Houston Rockets,64,5.8,1.1,1.1,0.5,0.2,0.9,786
Isaiah Roby,2330681,PF,24,03/02/1998,San Antonio Spurs,42,4.1,2.5,0.9,0.4,0.2,0.7,474
Lindy Waters III,2316876,SG,25,28/07/1997,Oklahoma City Thunder,41,5.2,1.8,0.7,0.3,0.3,0.2,531
Immanuel Quickley,2316240,SG,23,17/06/1999,New York Knicks,81,14.9,4.2,3.4,1,0.2,1.2,2344
John Konchar,2300000,SF,26,22/03/1996,Memphis Grizzlies,72,5.1,4.3,1.4,1.1,0.3,0.5,1494
Rodney McGruder,2298385,SG,31,29/07/1991,Detroit Pistons,32,5.7,2.3,0.9,0.5,0,0.3,524
Bryn Forbes,2298385,SG,29,23/07/1993,Minnesota Timberwolves,25,3.6,0.6,0.7,0.3,0.1,0.5,268
Damian Jones,2298385,C,27,30/06/1995,Los Angeles Lakers,41,3.5,3,0.4,0.2,0.5,0.6,477
Quentin Grimes,2277000,SG,22,08/05/2000,New York Knicks,71,11.3,3.2,2.1,0.7,0.4,1,2121
Saben Lee,2266640,PG,23,23/06/1999,Philadelphia 76ers,25,6,1.8,2.7,0.8,0,1,373
Andrew Nembhard,2244111,SG,23,16/01/2000,Indiana Pacers,75,9.5,2.7,4.5,0.9,0.2,1.7,2073
Payton Pritchard,2239200,PG,25,28/01/1998,Boston Celtics,48,5.6,1.8,1.3,0.3,0,0.8,643
Bones Hyland,2201520,PG,22,14/09/2000,Denver Nuggets,56,11.8,2.4,3.1,0.7,0.3,1.5,1085
Bol Bol,2200000,PF,23,16/11/1999,Orlando Magic,70,9.1,5.8,1,0.4,1.2,1.6,1505
Peyton Watson,2193960,SG,20,11/09/2002,Denver Nuggets,23,3.3,1.6,0.5,0.1,0.5,0.3,186
Udoka Azubuike,2174880,C,23,17/09/1999,Utah Jazz,36,3.5,3.3,0.3,0.2,0.4,0.5,359
Jaden McDaniels,2161440,SF,22,29/09/2000,Minnesota Timberwolves,79,12.1,3.9,1.9,0.9,1,1.4,2416
Jordan McLaughlin,2160000,PG,26,09/04/1996,Minnesota Timberwolves,43,3.7,1.4,3.4,0.7,0.1,0.8,678
Malachi Flynn,2145720,PG,24,09/05/1998,Toronto Raptors,53,4.6,1.4,1.3,0.4,0.1,0.5,691
Cam Thomas,2138160,SG,21,13/10/2001,Brooklyn Nets,57,10.6,1.7,1.4,0.4,0.1,1.1,948
Luke Kornet,2133278,C,27,15/07/1995,Boston Celtics,69,3.8,2.9,0.8,0.2,0.7,0.4,804
Damion Lee,2133278,SG,30,21/10/1992,Phoenix Suns,74,8.2,3,1.3,0.4,0.1,1.1,1506
Juan Toscano-Anderson,2133278,SF,29,10/04/1993,Los Angeles Lakers,52,3,2.4,1.3,0.3,0.2,0.7,700
Desmond Bane,2130240,SG,24,25/06/1998,Memphis Grizzlies,58,21.5,5,4.4,1,0.4,2.2,1841
Jaden Springer,2125200,SG,20,25/09/2002,Philadelphia 76ers,16,2.6,0.9,0.5,0.4,0.2,0.2,89
Day'Ron Sharpe,2109480,C,21,06/11/2001,Brooklyn Nets,48,4.7,4.2,0.8,0.3,0.7,0.9,552
Tony Bradley,2036318,C,25,08/01/1998,Chicago Bulls,12,1.6,0.9,0.1,0.1,0.1,0.1,33
Frank Ntilikina,2036318,SG,24,28/07/1998,Dallas Mavericks,47,2.9,1.3,1.2,0.3,0.1,0.6,607
Garrison Mathews,2000000,SG,26,24/10/1996,Houston Rockets,54,4.8,1.4,0.5,0.4,0.1,0.4,686
Jaylin Williams,2000000,C,20,29/06/2002,Oklahoma City Thunder,49,5.9,4.9,1.6,0.6,0.2,0.8,914
Jeremiah Robinson-Earl,2000000,PF,22,03/11/2000,Oklahoma City Thunder,43,6.8,4.2,1,0.6,0.3,0.4,814
Kenrich Williams,2000000,PF,28,02/12/1994,Oklahoma City Thunder,53,8,4.9,2,0.8,0.3,0.6,1206
Caleb Houstan,2000000,SF,20,09/01/2003,Orlando Magic,51,3.8,1.9,0.6,0.2,0.1,0.4,812
Shake Milton,1997718,SG,26,26/09/1996,Philadelphia 76ers,76,8.4,2.5,3.2,0.3,0.2,1.2,1567
Aaron Holiday,1968175,PG,26,30/09/1996,Atlanta Hawks,63,3.9,1.2,1.4,0.6,0.2,0.6,845
Yuta Watanabe,1968175,SF,28,13/10/1994,Brooklyn Nets,58,5.6,2.4,0.8,0.4,0.3,0.4,928
Edmond Sumner,1968175,SG,27,31/12/1995,Brooklyn Nets,53,7.1,1.5,1.3,0.6,0.2,0.9,736
Theo Pinson,1968175,SG,27,05/11/1995,Dallas Mavericks,40,2.4,1.6,1.2,0.2,0,0.3,323
Thomas Bryant,1968175,C,25,31/07/1997,Denver Nuggets,59,9.8,5.7,0.5,0.3,0.5,0.6,1081
Josh Okogie,1968175,SG,24,01/09/1998,Phoenix Suns,72,7.3,3.5,1.5,0.8,0.5,0.9,1350
Drew Eubanks,1968175,C,25,01/02/1997,Portland Trail Blazers,78,6.6,5.4,1.3,0.5,1.3,0.9,1584
Dean Wade,1930681,PF,26,20/11/1996,Cleveland Cavaliers,44,4.7,3.4,0.8,0.6,0.5,0.4,891
Terance Mann,1930681,SG,26,18/10/1996,Los Angeles Clippers,81,8.8,3.4,2.3,0.5,0.3,1,1872
Jaylen Nowell,1930681,SG,23,09/07/1999,Minnesota Timberwolves,65,10.8,2.6,2,0.6,0.1,1,1252
Naz Reid,1930681,C,23,26/08/1999,Minnesota Timberwolves,68,11.5,4.9,1.1,0.6,0.8,1.4,1251
Jalen McDaniels,1930681,SF,25,31/01/1998,Philadelphia 76ers,80,9.4,4.3,1.6,1,0.4,1.2,1913
Daniel Gafford,1930681,C,24,01/10/1998,Washington Wizards,78,9,5.6,1.1,0.4,1.3,1.1,1604
Chimezie Metu,1910860,PF,25,22/03/1997,Sacramento Kings,66,4.9,3,0.6,0.3,0.3,0.5,689
Davon Reed,1902133,SG,27,11/06/1995,Denver Nuggets,43,2.1,1.4,0.5,0.3,0.1,0.5,342
KZ Okpala,1902133,PF,23,28/04/1999,Sacramento Kings,35,1.3,1,0.4,0.2,0.2,0.2,248
Wenyen Gabriel,1878720,C,25,26/03/1997,Los Angeles Lakers,68,5.5,4.2,0.5,0.4,0.5,0.7,1024
Thanasis Antetokounmpo,1878720,PF,30,18/07/1992,Milwaukee Bucks,37,1.4,1.2,0.4,0.1,0.1,0.3,206
Moritz Wagner,1878720,C,25,26/04/1997,Orlando Magic,57,10.5,4.5,1.5,0.6,0.2,1.2,1109
Keita Bates-Diop,1878720,PF,27,23/01/1996,San Antonio Spurs,67,9.7,3.7,1.5,0.7,0.3,0.8,1452
Oshae Brissett,1846738,PF,24,20/06/1998,Indiana Pacers,65,6.1,3.4,0.7,0.5,0.2,0.5,1083
Nathan Knight,1836090,C,25,20/09/1997,Minnesota Timberwolves,38,3.7,1.5,0.3,0.3,0.2,0.6,291
Justin Jackson,1836090,SF,27,28/03/1995,Boston Celtics,23,0.9,0.7,0.4,0.2,0.2,0.1,107
Isaiah Joe,1836090,SG,23,02/07/1999,Oklahoma City Thunder,73,9.5,2.4,1.2,0.7,0.1,0.5,1395
Ryan Arcidiacono,1836090,PG,28,26/03/1994,New York Knicks,20,1.3,0.8,1.2,0.3,0,0.4,172
Anthony Gill,1836090,PF,30,17/10/1992,Washington Wizards,59,3.3,1.7,0.6,0.1,0.2,0.3,624
Javonte Green,1815677,SF,29,23/07/1993,Chicago Bulls,32,5.2,2.8,0.7,0.8,0.7,0.6,480
Gabe Vincent,1815677,PG,26,14/06/1996,Miami Heat,68,9.4,2.1,2.5,0.9,0.1,1.4,1759
Max Strus,1815677,SF,26,28/03/1996,Miami Heat,80,11.5,3.2,2.1,0.5,0.2,0.9,2272
Nick Richards,1782621,C,25,29/11/1997,Charlotte Hornets,65,8.2,6.4,0.6,0.2,1.1,0.9,1217
Lamar Stevens,1782621,SF,25,09/07/1997,Cleveland Cavaliers,62,5.3,3.3,0.5,0.4,0.3,0.4,1120
Naji Marshall,1782621,SF,25,24/01/1998,New Orleans Pelicans,77,9.1,3.6,2.5,0.7,0.2,1.3,1792
Paul Reed,1782621,C,23,14/06/1999,Philadelphia 76ers,69,4.2,3.8,0.4,0.7,0.7,0.7,755
Tre Jones,1782621,PG,23,08/01/2000,San Antonio Spurs,68,12.9,3.6,6.6,1.3,0.1,1.6,1984
Haywood Highsmith,1752638,PF,26,09/12/1996,Miami Heat,54,4.4,3.5,0.8,0.7,0.3,0.8,969
Omer Yurtseven,1752638,C,24,19/06/1998,Miami Heat,9,4.4,2.6,0.2,0.2,0.2,0.4,83
Leandro Bolmaro,1709300,SF,22,11/09/2000,Utah Jazz,14,0.4,0.5,0.5,0.2,0.1,0.5,68
Terry Taylor,1703902,PF,23,23/09/1999,Chicago Bulls,31,2.9,1.5,0.3,0.1,0.2,0.3,264
Jared Butler,1674655,PG,22,25/08/2000,Oklahoma City Thunder,6,6.2,0.7,1.3,0.8,0,0.8,77
Jericho Sims,1639842,C,24,20/10/1998,New York Knicks,52,3.4,4.7,0.5,0.3,0.5,0.5,812
Sam Hauser,1637966,SF,25,08/12/1997,Boston Celtics,80,6.4,2.6,0.9,0.4,0.3,0.4,1290
Kessler Edwards,1637966,SF,22,09/08/2000,Brooklyn Nets,36,2.8,1.7,0.6,0.4,0.2,0.4,385
Isaiah Todd,1575000,PF,21,17/10/2001,Washington Wizards,6,1.5,2,0.7,0.2,0,0.3,61
Vit Krejci,1563518,PG,22,19/06/2000,Atlanta Hawks,29,1.2,0.9,0.6,0.2,0,0.2,165
JT Thor,1563518,PF,20,26/08/2002,Charlotte Hornets,69,3.8,2.2,0.5,0.3,0.3,0.6,969
Marko Simonovic,1563518,C,23,15/10/1999,Chicago Bulls,7,0.9,0.3,0,0,0,0,20
Ayo Dosunmu,1563518,SG,23,17/01/2000,Chicago Bulls,80,8.6,2.8,2.6,0.8,0.3,1.2,2098
Isaiah Livers,1563518,PF,24,28/07/1998,Detroit Pistons,52,6.7,2.8,0.8,0.5,0.5,0.6,1199
Daishen Nix,1563518,PG,20,13/02/2002,Houston Rockets,57,4,1.7,2.3,0.5,0.1,1.5,914
Jason Preston,1563518,PG,23,10/08/1999,Los Angeles Clippers,14,2.9,1.6,1.9,0.1,0,0.7,124
Austin Reaves,1563518,SG,24,29/05/1998,Los Angeles Lakers,64,13,3,3.4,0.5,0.3,1.5,1843
Jose Alvarado,1563518,PG,24,12/04/1998,New Orleans Pelicans,61,9,2.3,3,1.1,0.2,1.3,1310
Miles McBride,1563518,PG,22,08/09/2000,New York Knicks,64,3.5,0.8,1.1,0.6,0.1,0.4,760
Aaron Wiggins,1563518,SG,24,02/01/1999,Oklahoma City Thunder,70,6.8,3,1.1,0.6,0.2,0.8,1297
Jock Landale,1563518,C,27,25/10/1995,Phoenix Suns,69,6.6,4.1,1,0.2,0.4,0.9,979
Trendon Watford,1563518,PF,22,09/11/2000,Portland Trail Blazers,62,7.4,3.8,2.1,0.5,0.2,1.1,1182
Dalano Banton,1563518,PG,23,07/11/1999,Toronto Raptors,31,4.6,1.5,1.2,0.4,0.4,0.6,279
Christian Koloko,1500000,C,22,20/06/2000,Toronto Raptors,58,3.1,2.9,0.5,0.4,1,0.3,802
Bryce McGowens,1461055,SG,20,08/11/2002,Charlotte Hornets,46,5.3,2,1.2,0.3,0.1,0.9,787
Jordan Goodwin,1280206,PG,24,23/10/1998,Washington Wizards,62,6.6,3.3,2.7,0.9,0.4,0.9,1106
Kennedy Chandler,1200000,PG,20,16/09/2002,Memphis Grizzlies,36,2.2,1.1,1.6,0.3,0.1,0.5,281
Noah Vonleh,1160955,C,27,24/08/1995,Boston Celtics,23,1.1,2.1,0.3,0.1,0.3,0.5,171
Sandro Mamukelashvili,1116112,C,23,23/05/1999,San Antonio Spurs,43,6.1,4.3,1.4,0.3,0.3,0.8,660
Sam Merrill,1105522,SG,26,15/05/1996,Cleveland Cavaliers,5,5,1.8,1,0.8,0,0,59
Tyrese Martin,1017781,SG,23,07/03/1999,Atlanta Hawks,16,1.3,0.8,0.1,0.1,0,0.1,66
Jaden Hardy,1017781,SG,20,05/07/2002,Dallas Mavericks,48,8.8,1.9,1.4,0.4,0.1,1,708
Ryan Rollins,1017781,PG,20,03/07/2002,Golden State Warriors,12,1.9,1,0.5,0.1,0.1,1.3,62
Max Christie,1017781,SG,19,10/02/2003,Los Angeles Lakers,41,3.1,1.8,0.5,0.2,0.2,0.3,512
Josh Minott,1017781,SF,20,25/11/2002,Minnesota Timberwolves,15,3.1,1.7,0.3,0.3,0.4,0.2,96
Jabari Walker,1017781,SF,20,30/07/2002,Portland Trail Blazers,56,3.9,2.3,0.6,0.2,0.2,0.5,619
Eugene Omoruyi,1013119,SF,25,14/02/1997,Detroit Pistons,40,7,2.8,0.7,0.7,0.1,0.9,645
Kris Dunn,1000001,PG,28,18/03/1994,Utah Jazz,22,13.2,4.5,5.6,1.1,0.5,1.6,568
Admiral Schofield,877940,PF,25,30/03/1997,Orlando Magic,37,4.2,1.7,0.8,0.2,0.1,0.4,451
Justin Champagnie,853241,SF,21,29/06/2001,Boston Celtics,5,2.2,1.6,0.8,0.2,0,0,34
Trevelin Queen,838891,SG,25,25/02/1997,Indiana Pacers,7,3,2.4,0.9,0.3,0.7,1,70
Moses Brown,824041,C,23,13/10/1999,Brooklyn Nets,36,4.3,3.9,0.1,0.1,0.4,0.4,294
Matt Ryan,806097,SF,25,17/04/1997,Los Angeles Lakers,34,3.6,0.8,0.5,0.1,0,0.2,310
PJ Dozier,784654,SF,26,25/10/1996,Sacramento Kings,16,1.4,0.9,0.6,0.4,0.1,0.3,79
Cody Zeller,743922,C,30,05/10/1992,Miami Heat,15,6.5,4.3,0.7,0.2,0.3,0.9,217
Meyers Leonard,713558,C,30,27/02/1992,Milwaukee Bucks,9,4.8,3.8,0.1,0.2,0,0.7,114
Anthony Lamb,694878,SF,25,20/01/1998,Golden State Warriors,62,6.7,3.5,1.5,0.5,0.3,0.9,1195
Michael Carter-Williams,652829,PG,31,10/10/1991,Orlando Magic,4,4.3,1.3,1.8,0.3,0.3,1,44
Carlik Jones,612162,PG,25,23/12/1997,Chicago Bulls,7,2.9,0.7,0.9,0.3,0,0.3,56
Trevor Keels,520589,SG,19,26/08/2003,New York Knicks,3,1,0.7,0,0,0,0,8
Dereon Seabron,511816,SG,22,26/05/2000,New Orleans Pelicans,5,0.8,0.2,0,0,0,0,12
Trent Forrest,508891,SG,24,12/06/1998,Atlanta Hawks,23,2.3,1.6,1.7,0.3,0.1,0.7,277
Mfiondu Kabengele,508891,PF,25,14/08/1997,Boston Celtics,4,1.5,2.5,0,0.5,0,0.3,36
JD Davison,508891,SG,20,03/10/2002,Boston Celtics,12,1.6,0.8,0.9,0.2,0.2,0.3,66
Malcolm Hill,508891,SF,27,26/10/1995,Chicago Bulls,5,1,0.6,0,0,0,0,9
Mamadi Diakite,508891,C,26,21/01/1997,Cleveland Cavaliers,22,2.6,1.4,0.4,0.2,0.4,0.5,176
Isaiah Mobley,508891,PF,23,24/09/1999,Cleveland Cavaliers,12,2.6,1.7,0.3,0.3,0.3,0.1,84
Jack White,508891,SF,25,05/08/1997,Denver Nuggets,17,1.2,1,0.2,0.2,0.1,0.1,66
Buddy Boeheim,508891,SF,23,11/11/1999,Detroit Pistons,10,1.6,0.6,0.4,0.2,0,0,90
Darius Days,508891,SF,23,20/10/1999,Houston Rockets,4,3.8,1.5,0.3,0,0.3,0,25
Trevor Hudgins,508891,PG,23,23/03/1999,Houston Rockets,5,1.8,0,0.6,0,0,0.2,28
Kendall Brown,508891,SG,19,11/05/2003,Indiana Pacers,6,1.5,1,0.5,0.7,0,0.3,40
Cole Swider,508891,SF,23,08/05/1999,Los Angeles Lakers,7,1.3,1,0.6,0,0,0,41
Jamal Cain,508891,PF,23,20/03/1999,Miami Heat,18,5.4,2.9,0.7,0.6,0.1,0.3,240
Luka Garza,508891,C,24,27/12/1998,Minnesota Timberwolves,28,6.5,2.3,0.6,0.1,0.1,0.5,243
Kevon Harris,508891,SG,25,24/06/1997,Orlando Magic,34,4.1,2.1,0.5,0.5,0.1,0.6,457
Keon Ellis,508891,SG,23,08/01/2000,Sacramento Kings,16,1.5,0.5,0.4,0.3,0.1,0.1,71
Neemias Queta,508891,C,23,13/07/1999,Sacramento Kings,5,2.4,2.2,0.2,0,0.4,0.2,29
Dominick Barlow,508891,PF,19,26/05/2003,San Antonio Spurs,28,3.9,3.6,0.9,0.4,0.7,0.5,408
Julian Champagnie,508891,SF,21,29/06/2001,San Antonio Spurs,17,9.7,3.5,0.6,0.4,0.3,0.6,320
Jeff Dowtin,508891,PG,25,10/05/1997,Toronto Raptors,25,2.4,0.9,1.2,0.4,0.1,0.2,259
Micah Potter,508891,PF,24,06/04/1998,Utah Jazz,7,3.4,2.3,0.6,0.1,0,0.3,52
Johnny Juzang,508891,SG,21,17/03/2001,Utah Jazz,18,4.8,2.2,0.4,0.2,0.2,0.2,232
John Butler,503041,C,20,04/12/2002,Portland Trail Blazers,19,2.4,0.9,0.6,0.4,0.5,0.1,221
Chima Moneke,500000,SF,27,24/12/1995,Sacramento Kings,2,1,1,0.5,0,0,1,8
Facundo Campazzo,464299,PG,31,23/03/1991,Dallas Mavericks,8,1.3,0.3,1.1,0.8,0,0.4,52
Orlando Robinson,386055,C,22,10/07/2000,Miami Heat,31,3.7,4.1,0.8,0.4,0.4,0.5,425
Dru Smith,374357,SG,25,30/12/1997,Brooklyn Nets,15,2.9,1.6,1.5,0.7,0.3,0.2,158
Jared Rhoden,307089,SG,23,27/08/1999,Detroit Pistons,14,3.2,2.6,0.3,0.3,0.1,0.2,198
Louis King,307089,PF,23,06/04/1999,Philadelphia 76ers,1,20,4,2,1,0,2,29
Jarrett Culver,260295,SF,23,20/02/1999,Atlanta Hawks,10,4.4,3.8,0.6,0.6,0.2,0.7,137
Olivier Sarr,257371,C,23,20/02/1999,Oklahoma City Thunder,9,4,3.4,0.4,0.1,0.6,0.4,114
Alondes Williams,254446,SG,23,19/06/1999,Brooklyn Nets,1,0,1,0,0,0,2,5
Donovan Williams,239822,SG,21,06/09/2001,Atlanta Hawks,2,2,1,0,0,0,0,4
Quenton Jackson,219630,PG,24,15/09/1998,Washington Wizards,9,6.2,0.9,1.7,0.4,0.1,0.4,135
Chris Silva,211045,PF,26,19/09/1996,Dallas Mavericks,1,2,0,0,0,0,1,3
Tyler Dorsey,201802,SF,26,18/02/1996,Dallas Mavericks,3,3,0.7,0,0,0,0,8
Braxton Key,201802,SF,25,14/02/1997,Detroit Pistons,3,1.3,0.3,0,0,0,0,9
Jordan Hall,193027,SF,21,14/01/2002,San Antonio Spurs,9,3.1,1.3,1.2,0.1,0,0.8,83
Alize Johnson,192293,PF,26,22/04/1996,San Antonio Spurs,4,1.8,2.5,0.3,0.3,0,1,30
Devon Dotson,169630,PG,23,02/08/1999,Washington Wizards,6,0.5,1.7,1.3,0.8,0,0.5,53
Mac McClung,160856,SG,24,06/01/1999,Philadelphia 76ers,2,12.5,5,4.5,0,0,1.5,41
Xavier Cooks,140384,PF,27,19/08/1995,Washington Wizards,10,3.8,3.8,0.6,0.6,0.4,0.8,126
Shaquille Harrison,134862,SG,29,06/10/1993,Portland Trail Blazers,5,8.8,4.4,6,2.2,0.4,1.2,120
Lester Quinones,129405,SG,22,16/11/2000,Golden State Warriors,4,2.5,0.8,0.5,0.3,0,1.3,18
Xavier Moon,116986,SG,28,02/01/1995,Los Angeles Clippers,4,1.8,0.8,1.3,0,0,0.3,20
Jamaree Bouyea,116986,PG,23,27/06/1999,Miami Heat,5,3,1.2,0.8,0.8,0.4,0.8,71
Jay Huff,116986,C,24,25/08/1997,Washington Wizards,7,7.3,3,1.4,0.4,0.6,0.7,95
Skylar Mays,116574,PG,25,05/09/1997,Portland Trail Blazers,6,15.3,3.2,8.3,1,0.2,1.7,189
Frank Jackson,113114,PG,24,04/05/1998,Utah Jazz,1,0,2,1,0,0,0,5
Deonte Burton,105522,PF,29,31/01/1994,Sacramento Kings,2,0,0,0,0,0,0,6
